date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:43:15	26053/26053	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d442fa5d82b65dbad78e57ceeaf6a48b%22	https://r.mobirisesite.com/508342/assets/vimeoplayer/player.js	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/vimeoplayer/player.js	(from https://v160dln4x8.mobirisesite.com/)
07:43:15	3382/3382	---MCZ	200	added ('OK')	application/javascript	etag:W/%22592f075967d9d9772e376ae6a366b82f%22	https://r.mobirisesite.com/508342/assets/scrollgallery/scroll-gallery.js	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/scrollgallery/scroll-gallery.js	(from https://v160dln4x8.mobirisesite.com/)
07:43:15	1/1	---M--	200	added ('OK')	application/javascript	etag:%2268b329da9893e34099c7d8ad5cb9c940%22	https://r.mobirisesite.com/508342/assets/mbr-switch-arrow/mbr-switch-arrow.js	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/mbr-switch-arrow/mbr-switch-arrow.js	(from https://v160dln4x8.mobirisesite.com/)
07:43:16	39476/39476	---MCZ	200	added ('OK')	application/javascript	etag:W/%220f08552427e5e413c46ddaf44c37dbc5%22	https://r.mobirisesite.com/508342/assets/theme/js/script.js	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/theme/js/script.js	(from https://v160dln4x8.mobirisesite.com/)
07:43:16	9708/9708	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259374053a063b8a7b7014e3222555cd7%22	https://r.mobirisesite.com/508342/assets/formoid/formoid.min.js	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/formoid/formoid.min.js	(from https://v160dln4x8.mobirisesite.com/)
07:43:16	25468/25468	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22385866f21466d026cef79ed73d2e93cb%22	https://r.mobirisesite.com/508342/assets/web/assets/mobirise-icons2/mobirise2.eot?f2bix4	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/web/assets/mobirise-icons2/mobirise21e04.eot	(from https://r.mobirisesite.com/508342/assets/web/assets/mobirise-icons2/mobirise2.css)
07:43:17	25280/25280	---MCZ	200	added ('OK')	font/ttf	etag:W/%22a915592fd82d5a2f17cbbc795a6c31e8%22	https://r.mobirisesite.com/508342/assets/web/assets/mobirise-icons2/mobirise2.ttf?f2bix4	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/web/assets/mobirise-icons2/mobirise21e04.ttf	(from https://r.mobirisesite.com/508342/assets/web/assets/mobirise-icons2/mobirise2.css)
07:43:17	25356/25356	---MCZ	200	added ('OK')	application/font-woff	etag:W/%220a7e6a641c103830068ddcebe2ca65ae%22	https://r.mobirisesite.com/508342/assets/web/assets/mobirise-icons2/mobirise2.woff?f2bix4	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/web/assets/mobirise-icons2/mobirise21e04.woff	(from https://r.mobirisesite.com/508342/assets/web/assets/mobirise-icons2/mobirise2.css)
07:43:18	72845/72845	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bac098032ed07737247de19179bf7059%22	https://r.mobirisesite.com/508342/assets/web/assets/mobirise-icons2/mobirise2.svg?f2bix4	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/web/assets/mobirise-icons2/mobirise21e04.svg	(from https://r.mobirisesite.com/508342/assets/web/assets/mobirise-icons2/mobirise2.css)
07:43:18	125405/125405	---M--	200	added ('OK')	image/jpeg	etag:%226fcc5142d575a410a2999bb31807215f%22	https://r.mobirisesite.com/508342/assets/images/background1.jpg?v=1Sj4c3	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/images/background1c4b4.jpg	(from https://r.mobirisesite.com/508342/assets/mobirise/css/mbr-additional.css?v=8NNvLy)
07:43:19	580583/580583	---M--	200	added ('OK')	image/jpeg	etag:%22d592b5c1a24ef0033e632056361af88c%22	https://r.mobirisesite.com/508342/assets/images/mbr-1-1920x1280.jpg?v=1Sj4c3	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/images/mbr-1-1920x1280c4b4.jpg	(from https://r.mobirisesite.com/508342/assets/mobirise/css/mbr-additional.css?v=8NNvLy)
07:43:19	265/265	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jun%202024%2004:43:19%20GMT	https://r.mobirisesite.com/robots.txt		(from https://r.mobirisesite.com/508342/assets/web/assets/mobirise-icons2/mobirise2.css)
